model_size_pct,data_subset_pct,step,train_loss,test_accuracy,test_error_rate,test_f1,test_precision,elapsed_sec
50.0,50,3000,0.02472,0.86267,0.13733,0.86046,0.88752,148.87
50.0,50,3500,0.01691,0.95867,0.04133,0.95869,0.95923,173.05
50.0,50,4000,0.0159,0.93867,0.06133,0.93866,0.94229,197.11
50.0,50,4500,0.00135,0.95733,0.04267,0.95726,0.95763,221.33
50.0,50,5000,0.00032,0.95733,0.04267,0.95728,0.95785,245.48
50.0,50,5500,0.00017,0.95533,0.04467,0.95519,0.95551,270.19
50.0,50,6000,0.00013,0.958,0.042,0.95779,0.95819,294.23
50.0,50,6500,9e-05,0.958,0.042,0.95787,0.95828,318.43
50.0,50,7000,8e-05,0.95733,0.04267,0.95728,0.95771,342.61
50.0,50,7500,8e-05,0.958,0.042,0.95794,0.9584,366.62
50.0,50,8000,7e-05,0.958,0.042,0.95788,0.95821,390.66
50.0,100,500,0.67436,0.732,0.268,0.72728,0.77742,28.66
50.0,100,1000,0.24844,0.90467,0.09533,0.9052,0.91428,52.72
50.0,100,1500,0.14449,0.91333,0.08667,0.9158,0.92728,76.94
50.0,100,2000,0.08404,0.95867,0.04133,0.95875,0.96034,100.91
50.0,100,2500,0.06083,0.92667,0.07333,0.92663,0.93224,125.05
50.0,100,3000,0.03983,0.958,0.042,0.95739,0.95868,149.04
50.0,100,3500,0.02988,0.962,0.038,0.96176,0.96238,173.18
50.0,100,4000,0.0183,0.96333,0.03667,0.96325,0.96366,197.42
50.0,100,4500,0.0083,0.97067,0.02933,0.97051,0.97102,221.68
50.0,100,5000,0.00507,0.978,0.022,0.97796,0.97811,245.69
50.0,100,5500,0.00252,0.978,0.022,0.97802,0.97819,269.92
50.0,100,6000,0.00098,0.98067,0.01933,0.98066,0.98074,294.03
50.0,100,6500,0.0004,0.98133,0.01867,0.98132,0.98143,318.01
50.0,100,7000,0.00021,0.98333,0.01667,0.98333,0.98341,342.29
50.0,100,7500,0.00023,0.982,0.018,0.982,0.9821,366.43
50.0,100,8000,0.00022,0.98267,0.01733,0.98267,0.98277,390.45
100.0,1,500,0.30426,0.20267,0.79733,0.1597,0.25725,37.24
100.0,1,1000,0.03915,0.318,0.682,0.30039,0.32116,57.49
100.0,1,1500,0.01773,0.29867,0.70133,0.28665,0.29831,77.8
100.0,1,2000,0.00375,0.36333,0.63667,0.35257,0.35573,98.08
100.0,1,2500,0.01825,0.22133,0.77867,0.20465,0.28847,118.7
100.0,1,3000,0.01671,0.25267,0.74733,0.25618,0.27214,139.03
100.0,1,3500,0.00446,0.25667,0.74333,0.24793,0.26858,159.6
100.0,1,4000,0.00095,0.31733,0.68267,0.29515,0.32129,179.92
100.0,1,4500,0.00011,0.338,0.662,0.32684,0.33462,200.37
100.0,1,5000,3e-05,0.33,0.67,0.30877,0.31397,220.7
100.0,1,5500,2e-05,0.32533,0.67467,0.31135,0.31536,241.14
100.0,1,6000,2e-05,0.33733,0.66267,0.32759,0.33389,261.27
100.0,1,6500,2e-05,0.33067,0.66933,0.31952,0.32783,281.71
100.0,1,7000,0.0001,0.34267,0.65733,0.33527,0.33777,301.9
100.0,1,7500,7e-05,0.34467,0.65533,0.33933,0.33991,322.1
100.0,1,8000,6e-05,0.33933,0.66067,0.33433,0.3348,342.36
100.0,2,500,0.24025,0.39933,0.60067,0.36999,0.42292,31.15
100.0,2,1000,0.04086,0.39533,0.60467,0.37622,0.42182,56.4
100.0,2,1500,0.01465,0.43267,0.56733,0.43367,0.44552,81.77
100.0,2,2000,0.00012,0.47267,0.52733,0.47282,0.48364,107.12
100.0,2,2500,2e-05,0.46467,0.53533,0.46553,0.47127,132.13
100.0,2,3000,0.03919,0.36667,0.63333,0.38244,0.43606,157.56
100.0,2,3500,0.00874,0.37867,0.62133,0.36659,0.40181,182.85
100.0,2,4000,0.00871,0.274,0.726,0.2693,0.30883,208.2
100.0,2,4500,0.00364,0.41,0.59,0.41404,0.43164,233.75
100.0,2,5000,0.00014,0.42667,0.57333,0.42892,0.43619,258.87
100.0,2,5500,1e-05,0.42933,0.57067,0.43037,0.4385,284.07
100.0,2,6000,1e-05,0.43333,0.56667,0.43309,0.43832,309.37
100.0,2,6500,1e-05,0.432,0.568,0.4316,0.43289,334.63
100.0,2,7000,5e-05,0.43467,0.56533,0.43504,0.44371,359.82
100.0,2,7500,3e-05,0.42467,0.57533,0.42629,0.43338,385.14
100.0,2,8000,2e-05,0.43067,0.56933,0.43308,0.43866,410.49
100.0,5,500,0.22831,0.24467,0.75533,0.17989,0.37901,37.36
