model_size_pct,data_subset_pct,step,train_loss,test_accuracy,test_error_rate,test_f1,test_precision,elapsed_sec
50.0,5,9500,4e-05,0.67467,0.32533,0.66636,0.66502,395.3
50.0,5,10000,3e-05,0.67467,0.32533,0.66576,0.66543,415.9
50.0,10,500,0.29989,0.62067,0.37933,0.6096,0.66346,26.63
50.0,10,1000,0.00874,0.742,0.258,0.73882,0.74053,48.69
50.0,10,1500,5e-05,0.742,0.258,0.73891,0.74013,70.82
50.0,10,2000,3e-05,0.744,0.256,0.74104,0.74196,93.0
50.0,10,2500,2e-05,0.742,0.258,0.73913,0.74004,115.15
50.0,10,3000,1e-05,0.742,0.258,0.73779,0.73908,137.35
50.0,10,3500,1e-05,0.73933,0.26067,0.73498,0.73743,159.5
50.0,10,4000,1e-05,0.74533,0.25467,0.74201,0.74323,181.67
50.0,10,4500,1e-05,0.74667,0.25333,0.74293,0.74372,203.9
50.0,10,5000,0.0,0.74467,0.25533,0.74059,0.74134,226.12
50.0,10,5500,0.0,0.748,0.252,0.74456,0.74586,248.24
50.0,10,6000,0.0,0.74667,0.25333,0.7428,0.7434,270.4
50.0,10,6500,0.0,0.74667,0.25333,0.74262,0.74345,292.68
50.0,10,7000,0.0,0.74733,0.25267,0.74293,0.74365,314.88
50.0,10,7500,0.0,0.74733,0.25267,0.74374,0.74463,337.11
50.0,10,8000,0.0,0.74,0.26,0.73589,0.73773,359.31
50.0,10,8500,0.0,0.74267,0.25733,0.7388,0.74004,381.61
50.0,10,9000,0.0,0.74267,0.25733,0.7389,0.73932,403.81
50.0,10,9500,0.0,0.746,0.254,0.74254,0.74299,426.1
50.0,10,10000,0.0,0.746,0.254,0.7422,0.74271,448.39
50.0,20,500,0.39638,0.668,0.332,0.65896,0.71364,26.48
50.0,20,1000,0.03707,0.81867,0.18133,0.81467,0.81631,48.65
50.0,20,1500,0.00013,0.82733,0.17267,0.82384,0.82543,70.93
50.0,20,2000,5e-05,0.82667,0.17333,0.82315,0.82382,93.13
50.0,20,2500,3e-05,0.82533,0.17467,0.82198,0.82374,115.38
50.0,20,3000,2e-05,0.822,0.178,0.81797,0.81992,137.61
50.0,20,3500,2e-05,0.82267,0.17733,0.81942,0.8207,159.84
50.0,20,4000,1e-05,0.828,0.172,0.8247,0.82723,182.07
